City ID,City,Cloudiness,Country,Humidity,Lat,Lng,Temperature,Wind Speed
2014369,Ulety,10,RU,86,51.3572,112.4849,13.56,1.92
1636308,Manokwari,99,ID,72,-0.8667,134.0833,26.5,3.13
3874787,Punta Arenas,75,CL,61,-53.15,-70.9167,7.96,10.8
4035715,Avarua,75,CK,83,-21.2078,-159.775,24.03,6.17
5106841,Albany,14,US,54,42.6001,-73.9662,24.46,0.45
2075265,Busselton,100,AU,65,-33.65,115.3333,11.98,2.09
4013679,Coahuayana Viejo,90,MX,55,18.7333,-103.6833,31.97,1.71
5282297,Bethel,75,US,46,41.3712,-73.414,28.45,3.6
2017155,Saskylakh,100,RU,90,71.9167,114.0833,16.56,4.04
3652764,Puerto Ayora,88,EC,84,-0.7393,-90.3518,22.53,3.13
3567834,Baracoa,69,CU,64,20.3467,-74.4958,29.97,5.87
214389,Kaniama,2,CD,27,-7.5667,24.1833,26.74,1.43
2206939,Bluff,91,NZ,70,-46.6,168.3333,3.22,4.92
2163355,Hobart,100,AU,84,-42.8794,147.3294,5.05,3.6
693700,Skalat,89,UA,40,49.4273,25.9787,26.56,4.48
3471451,Arraial do Cabo,20,BR,56,-22.9661,-42.0278,21.92,7.2
3981069,Tres Palos,74,MX,65,18.1833,-101.6167,29.25,0.75
2012530,Zhigansk,100,RU,86,66.7697,123.3711,17.46,3.73
1735106,George Town,20,MY,92,5.4112,100.3354,27.05,2.06
5847411,Kahului,20,US,68,20.8947,-156.47,23.01,0.0
866062,Iskateley,61,RU,58,67.6803,53.1512,17.15,4.52
1819729,Hong Kong,30,HK,86,22.2855,114.1577,29.19,0.89
5557293,Sitka,100,US,88,57.0531,-135.33,15.94,2.06
3665202,Aripuanã,7,BR,18,-9.1667,-60.6333,36.2,1.0
1728675,Balabac,100,PH,82,7.9868,117.0645,27.22,2.49
4030556,Rikitea,26,PF,75,-23.1203,-134.9692,22.7,7.59
964420,Port Elizabeth,0,ZA,75,-33.918,25.5701,12.95,8.49
4021858,Guerrero Negro,56,MX,54,27.9769,-114.0611,25.04,2.75
2065594,Mount Isa,68,AU,71,-20.7333,139.5,8.87,0.0
6185377,Yellowknife,40,CA,63,62.456,-114.3525,17.29,2.57
286621,Salalah,75,OM,88,17.0151,54.0924,25.05,2.57
2347758,Bara,100,NG,77,10.3744,10.7288,24.84,2.31
3693584,Pimentel,0,PE,60,-6.8367,-79.9342,21.16,7.2
934322,Mahébourg,40,MU,83,-20.4081,57.7,20.16,6.69
1015776,Bredasdorp,93,ZA,88,-34.5322,20.0403,10.06,3.32
4032243,Vaini,20,TO,94,-21.2,-175.2,24.09,3.6
934479,Grand Gaube,54,MU,76,-20.0064,57.6608,20.77,3.13
1495812,Ous,96,RU,51,60.9058,61.5186,22.09,1.95
1529102,Ürümqi,20,CN,36,43.801,87.6005,26.53,3.0
2310046,Bata,48,GQ,83,1.8639,9.7658,24.84,4.82
3833367,Ushuaia,40,AR,75,-54.8,-68.3,5.81,11.32
1516048,Khovd,29,MN,33,48.0056,91.6419,21.05,2.94
3932145,Pisco,0,PE,72,-13.7,-76.2167,17.03,3.6
789045,Kriva Palanka,34,MK,43,42.2019,22.3319,27.57,0.92
1651810,Airai,74,TL,92,-8.9266,125.4092,13.43,1.37
1262824,Mon,100,IN,99,26.75,95.1,21.97,1.22
1791464,Wenling,14,CN,89,28.3669,121.36,26.14,1.16
3663142,Novo Aripuanã,88,BR,31,-5.1206,-60.3797,35.01,0.74
3836873,San Miguel de Tucumán,39,AR,38,-26.8241,-65.2226,23.0,1.54
2971030,Valentigney,67,FR,34,47.4639,6.8317,27.17,1.39
4034307,Mahina,20,PF,83,-17.5065,-149.489,22.87,1.54
5354943,Half Moon Bay,75,US,79,37.4636,-122.4286,19.07,4.63
5688025,Bismarck,0,US,52,46.8083,-100.7837,28.86,3.09
4552969,The Village,0,US,70,35.5609,-97.5514,25.68,3.6
5880054,Barrow,100,US,84,71.2906,-156.7887,3.29,3.53
546105,Nikolskoye,15,RU,88,59.7035,30.7861,17.68,3.02
2541479,Nador,75,MA,83,35.174,-2.9287,28.14,3.6
1831112,Kampot,100,KH,85,10.6167,104.1833,28.03,2.56
5969025,Haines Junction,98,CA,67,60.7522,-137.5108,15.97,0.51
390054,Baft,100,IR,83,29.234,56.6057,16.74,1.87
6201424,Mataura,67,NZ,98,-46.1927,168.8643,3.04,1.58
2449893,Tessalit,38,ML,42,20.1986,1.0114,29.58,11.04
5364271,Laguna,0,US,63,38.421,-121.4238,23.4,3.09
3870282,Talcahuano,0,CL,66,-36.7167,-73.1167,11.82,3.09
2015913,Suntar,65,RU,92,62.1444,117.6319,16.25,0.97
3393536,Olinda,75,BR,88,-8.0089,-34.8553,23.85,2.57
964432,Port Alfred,76,ZA,78,-33.5906,26.891,12.32,0.89
3883457,Lebu,100,CL,75,-37.6167,-73.65,11.42,4.43
4020109,Atuona,9,PF,77,-9.8,-139.0333,24.8,7.1
2112802,Hasaki,12,JP,92,35.7333,140.8333,25.22,4.27
2137773,Vao,100,NC,86,-22.6667,167.4833,19.17,11.52
371745,Kutum,95,SD,45,14.2,24.6667,28.29,5.76
1282256,Hithadhoo,100,MV,76,-0.6,73.0833,27.38,7.7
2171099,Codrington,100,AU,76,-38.2667,141.9667,9.5,7.58
1863521,Gōtsuchō,100,JP,73,35.0,132.2167,27.48,5.03
1317402,Kyaikkami,100,MM,82,16.08,97.5675,27.83,4.18
3369157,Cape Town,75,ZA,84,-33.9258,18.4232,11.07,1.54
610864,Khani,53,GE,87,41.9563,42.9566,19.76,1.14
2208248,Kaitangata,52,NZ,91,-46.2817,169.8464,2.72,4.35
1283217,Khanbari,94,NP,91,27.3747,87.2039,23.32,0.24
6111862,Port Hardy,20,CA,82,50.6996,-127.4199,18.1,2.57
5344157,Dublin,0,US,66,37.7021,-121.9358,19.86,4.12
296895,Yerköy,0,TR,27,39.6381,34.4672,26.54,3.2
2013639,Verkhnevilyuysk,1,RU,93,63.4453,120.3167,15.42,1.36
6943820,Murdochville,66,CA,88,48.9583,-65.5006,13.49,2.96
610298,Beyneu,44,KZ,45,45.3167,55.2,28.37,5.69
3423146,Ilulissat,75,GL,93,69.2167,-51.1,8.01,2.06
160961,Bukoba,17,TZ,71,-1.3317,31.8122,20.78,1.33
2303611,Esim,100,GH,74,4.8699,-2.2405,24.65,4.5
5110365,Broome,75,US,55,42.2506,-75.833,24.62,4.63
2022572,Khatanga,79,RU,92,71.9667,102.5,13.43,2.15
3466704,Castro,2,BR,35,-24.7911,-50.0119,17.94,1.59
5367788,Lompoc,0,US,83,34.6391,-120.4579,19.86,0.45
1808106,Hongjiang,27,CN,61,27.11,109.9956,24.98,0.5
3985710,Cabo San Lucas,40,MX,48,22.8909,-109.9124,31.17,5.14
695516,Rokytne,74,UA,53,51.2796,27.214,24.0,5.44
1268814,Joshīmath,100,IN,96,30.5667,79.5667,21.55,1.04
2184707,Wanaka,82,NZ,92,-44.7,169.15,-2.03,2.09
3839307,Rawson,6,AR,50,-43.3002,-65.1023,10.75,4.24
2277060,Gbarnga,99,LR,63,6.9956,-9.4722,26.76,1.67
5848280,Kapaa,40,US,88,22.0752,-159.319,24.55,5.14
2126199,Cherskiy,68,RU,66,68.75,161.3,9.91,4.86
215771,Isiro,75,CD,92,2.7739,27.616,20.27,0.59
2090021,Namatanai,75,PG,75,-3.6667,152.4333,25.68,3.7
1805733,Jinchang,90,CN,48,38.4953,102.1739,24.63,3.52
2156643,Mount Gambier,100,AU,81,-37.8333,140.7667,8.55,4.75
2455290,Kidal,16,ML,22,18.4411,1.4078,38.15,4.1
2180815,Tuatapere,97,NZ,87,-46.1333,167.6833,3.39,2.26
1636806,Majene,93,ID,89,-3.5403,118.9707,25.35,4.75
3424607,Tasiilaq,4,GL,66,65.6145,-37.6368,11.09,0.66
10722858,Forsytheganj,93,BY,71,52.6333,29.7333,20.37,2.79
4513583,Hamilton,0,US,47,39.1834,-84.5333,27.1,0.89
1244926,Hambantota,100,LK,84,6.1241,81.1185,26.61,5.77
1507390,Dikson,82,RU,90,73.5069,80.5464,4.68,6.14
704422,Krasnoarmiys'k,56,UA,35,48.282,37.1758,24.51,6.48
1152222,Mae Hong Son,100,TH,88,19.3003,97.9685,25.84,0.82
2264557,Ponta do Sol,0,PT,74,32.6667,-17.1,25.06,2.0
1492566,Severo-Yeniseyskiy,51,RU,87,60.3725,93.0408,17.9,1.11
933759,Ghanzi,4,BW,22,-21.5667,21.7833,19.51,3.93
4328254,Iberia,100,US,83,29.9502,-91.7507,25.81,3.09
2112309,Katsuura,1,JP,90,35.1333,140.3,26.54,6.27
3855065,General Roca,100,AR,43,-39.0333,-67.5833,13.12,5.13
3451138,Rio Grande,1,BR,57,-32.035,-52.0986,17.19,0.25
2618795,Klaksvík,79,FO,85,62.2266,-6.589,11.51,7.43
3359638,Walvis Bay,8,NA,82,-22.9575,14.5053,14.53,6.17
5882953,Aklavik,100,CA,81,68.2191,-135.0107,8.0,1.54
6089245,Norman Wells,75,CA,77,65.282,-126.8329,14.02,2.06
2263458,Santiago do Cacém,3,PT,76,38.0169,-8.6948,21.13,4.04
2215163,Masallātah,0,LY,49,32.6167,14.0,29.18,5.02
2094342,Kavieng,74,PG,80,-2.5744,150.7967,26.93,5.43
3662761,Porto Walter,5,BR,38,-8.2686,-72.7439,34.47,0.33
5855927,Hilo,100,US,95,19.7297,-155.09,22.09,3.6
2012349,Krasnyy Chikoy,83,RU,85,50.3643,108.7512,12.76,0.8
3443061,Chui,0,UY,57,-33.6971,-53.4616,15.05,1.06
4705041,Lakeway,0,US,43,30.3638,-97.9796,34.65,5.66
4031574,Provideniya,100,RU,76,64.3833,-173.3,9.63,0.87
3522526,Nuevo Progreso,52,MX,58,23.1667,-97.95,30.72,3.13
1633419,Padang,88,ID,82,-0.9492,100.3543,25.3,1.31
2112077,Kuroiso,47,JP,93,36.9667,140.05,23.08,1.02
541349,Krasnyy Yar,74,RU,44,46.5331,48.3456,28.96,3.22
1798537,Hanyang,81,CN,85,32.1371,105.5126,23.81,0.63
3385077,Conde,75,BR,78,-7.2597,-34.9075,26.7,3.6
528242,Mayskiy,48,RU,40,47.6931,40.1025,28.67,4.02
5122534,Jamestown,40,US,54,42.097,-79.2353,22.64,5.14
6162951,Terrace Bay,44,CA,78,48.7834,-87.1,13.91,3.0
3412093,Vestmannaeyjar,0,IS,76,63.4427,-20.2734,11.55,11.83
886763,Masvingo,0,ZW,24,-20.0637,30.8277,16.24,1.94
4111382,Forrest City,100,US,70,35.0081,-90.7898,27.82,0.97
5229794,Mitchell,0,US,42,43.7094,-98.0298,27.99,9.77
3466165,Cidreira,1,BR,60,-30.1811,-50.2056,15.43,2.13
2088659,Panguna,35,PG,94,-6.3164,155.4848,18.64,0.96
2396853,Omboué,84,GA,79,-1.5746,9.2618,23.53,3.51
4034551,Faanui,5,PF,71,-16.4833,-151.75,26.08,11.22
2067089,Maningrida,20,AU,79,-12.0667,134.2667,18.88,3.7
2151955,Redcliffe,75,AU,82,-27.2307,153.0973,12.26,2.57
553955,Kalnibolotskaya,62,RU,44,46.0058,40.4568,28.39,6.32
1506268,Gornopravdinsk,41,RU,71,60.05,69.9,18.63,2.17
986717,Kruisfontein,58,ZA,63,-34.0033,24.7314,11.98,6.71
2456917,Goundam,28,ML,36,16.4145,-3.6708,33.73,4.73
3421765,Nanortalik,14,GL,86,60.1432,-45.2371,8.2,5.19
290030,Doha,0,QA,68,25.2867,51.5333,33.97,5.14
1631637,Pemangkat,100,ID,89,1.1667,108.9667,25.22,2.53
2110227,Butaritari,37,KI,72,3.0707,172.7902,27.27,7.09
3655131,La Libertad,0,EC,78,-2.2333,-80.9,23.81,3.09
3460087,Jardim,2,BR,24,-21.4803,-56.1381,26.77,1.63
3141667,Roald,0,NO,82,62.5833,6.1333,16.54,3.6
5742974,North Bend,100,US,94,43.4065,-124.2243,16.43,4.12
1807681,Huainan,21,CN,93,32.6264,116.9969,25.09,2.34
3366880,Hermanus,96,ZA,81,-34.4187,19.2345,9.89,3.74
1006984,East London,81,ZA,69,-33.0153,27.9116,15.53,6.48
556268,Ostrovnoy,65,RU,97,68.0531,39.5131,13.17,3.29
5720495,Coos Bay,100,US,94,43.3665,-124.2179,16.4,4.12
3395503,Marabá,40,BR,46,-5.3686,-49.1178,34.1,2.06
5546220,Saint George,0,US,50,37.1041,-113.5841,30.03,2.68
5972762,Hay River,62,CA,68,60.8156,-115.7999,17.99,2.57
6620339,Karratha,100,AU,57,-20.7377,116.8463,22.65,2.93
2177069,Ballina,84,AU,99,-28.8667,153.5667,11.68,1.09
2070998,Geraldton,100,AU,82,-28.7667,114.6,12.23,4.12
2123814,Leningradskiy,100,RU,76,69.3833,178.4167,7.06,2.25
2059470,Victor Harbor,100,AU,50,-35.5667,138.6167,13.89,0.89
2460954,Araouane,27,ML,28,18.9048,-3.5265,36.64,3.25
2236967,Soyo,18,AO,84,-6.1349,12.3689,22.12,3.26
928534,Kasungu,4,MW,53,-13.0333,33.4833,18.7,3.14
337405,Gambēla,98,ET,96,8.25,34.5833,21.92,1.17
1254046,Tura,99,IN,97,25.5198,90.2201,23.75,2.42
1496476,Nyagan,100,RU,93,62.1406,65.3936,18.14,2.45
1052944,Angoche,54,MZ,72,-16.2325,39.9086,23.38,3.4
3672086,Pizarro,95,CO,83,4.9533,-77.366,27.05,3.24
2643044,Margate,96,GB,67,51.3813,1.3862,22.68,1.79
2192362,Christchurch,100,NZ,91,-43.5333,172.6333,4.68,5.14
1626703,Soe,85,ID,89,-9.8607,124.284,18.1,1.63
2301400,Dunkwa,100,GH,72,5.9656,-1.78,25.43,2.81
6096551,Pangnirtung,100,CA,52,66.1451,-65.7125,18.0,7.72
6113406,Prince Rupert,100,CA,96,54.3161,-130.3201,16.18,1.54
2729907,Longyearbyen,75,SJ,87,78.2186,15.6401,9.91,1.03
2396518,Port-Gentil,20,GA,78,-0.7193,8.7815,24.98,4.63
1804609,Laibin,15,CN,70,23.7,109.2667,27.42,1.42
598655,Smalininkai,99,LT,70,55.0735,22.5793,18.44,2.84
1502073,Krasnosel'kup,84,RU,62,65.7,82.4667,15.22,8.21
3372964,Lagoa,0,PT,69,39.05,-27.9833,23.03,2.04
3361934,Saldanha,2,ZA,74,-33.0117,17.9442,12.03,3.76
2138555,Poum,92,NC,79,-20.2333,164.0167,22.09,12.31
3416888,Grindavik,75,IS,87,63.8424,-22.4338,10.26,6.17
777019,Vardø,100,NO,93,70.3705,31.1107,9.99,7.2
2074865,Carnarvon,58,AU,60,-24.8667,113.6333,17.13,7.9
3372760,Praia da Vitória,20,PT,69,38.7333,-27.0667,26.14,1.86
189741,Lamu,6,KE,85,-2.2717,40.902,24.12,5.82
4032369,Pangai,5,TO,88,-19.8,-174.35,25.03,8.5
6148373,Sioux Lookout,75,CA,57,50.1001,-91.917,25.04,5.14
3355595,Mariental,71,NA,19,-24.6333,17.9667,15.66,4.96
6170031,Tuktoyaktuk,75,CA,75,69.4541,-133.0374,4.0,1.03
3126369,Carballo,0,ES,82,43.213,-8.691,22.37,5.87
494970,Sheltozero,100,RU,75,61.3667,35.3667,15.17,4.1
2738381,Lata,0,PT,43,40.1629,-8.3327,30.83,4.73
2063042,Port Hedland,97,AU,63,-20.3167,118.5667,18.03,0.0
110690,Faya,58,SA,53,18.3851,42.4509,21.29,2.18
2121385,Severo-Kuril'sk,80,RU,93,50.6789,156.125,11.08,3.15
3939761,Hualmay,15,PE,69,-11.0964,-77.6139,19.42,3.34
2450173,Taoudenni,37,ML,16,22.6783,-3.9836,42.75,2.86
3175096,Laas,75,IT,52,46.6166,10.7002,21.26,3.08
4026082,Lázaro Cárdenas,66,MX,55,17.9583,-102.2,30.81,2.2
2063036,Port Lincoln,100,AU,78,-34.7333,135.8667,12.34,6.08
499025,Samoded,49,RU,85,63.6083,40.5111,16.58,2.05
2402689,Zimmi,91,SL,62,7.3153,-11.3061,27.25,2.75
3358666,Aranos,28,NA,20,-24.1333,19.1167,16.9,5.36
5686121,Whitefish,0,US,50,48.4111,-114.3376,26.17,2.57
184379,Narok,62,KE,79,-1.0783,35.8601,15.63,2.67
218253,Bondo,100,CD,97,3.8146,23.6866,21.42,0.93
946973,Tzaneen,4,ZA,36,-23.8332,30.1635,18.85,0.85
2014624,Udachny,98,RU,88,66.4167,112.4,19.14,1.93
1497497,Nizhniy Ingash,86,RU,99,56.2,96.53,16.6,3.27
895953,Zambezi,2,ZM,23,-13.5432,23.1047,20.23,2.07
1489853,Tazovsky,0,RU,68,67.4667,78.7,9.49,7.0
361291,Hurghada,6,EG,40,27.2574,33.8129,32.15,6.2
3831208,Qaanaaq,29,GL,65,77.484,-69.3632,6.59,2.9
2315728,Gemena,32,CD,75,3.25,19.7667,24.03,1.29
6063191,Mackenzie,0,CA,60,55.2999,-123.1698,23.12,2.57
2121197,Sinegor'ye,21,RU,64,62.0788,150.477,9.71,3.3
2235776,Akonolinga,80,CM,79,3.7667,12.25,23.01,2.02
1490256,Talnakh,28,RU,68,69.4865,88.3972,10.67,6.63
2158767,Mareeba,62,AU,90,-17.0,145.4333,16.92,0.97
3533462,Acapulco de Juárez,75,MX,70,16.8634,-99.8901,29.9,2.57
2155415,New Norfolk,100,AU,78,-42.7826,147.0587,5.38,1.39
233093,Kaabong,80,UG,81,3.4836,34.1492,17.91,2.28
4193042,Effingham County,91,US,40,32.3669,-81.3332,33.12,2.84
1489822,Tegul'det,100,RU,89,57.3064,88.1667,18.23,1.65
935215,Saint-Philippe,41,RE,77,-21.3585,55.7679,19.44,7.07
6050066,La Ronge,100,CA,52,55.1001,-105.2842,18.14,4.12
5955902,Fort Nelson,100,CA,82,58.8053,-122.7002,14.77,0.0
6175059,Wainwright,100,CA,78,52.839,-110.8572,19.53,2.11
1809062,Haimen,19,CN,84,23.1935,116.6142,28.94,3.34
1786657,Yinchuan,15,CN,69,38.4681,106.2731,23.63,3.18
1106677,Bambous Virieux,40,MU,83,-20.3428,57.7575,20.14,6.69
2181625,Te Anau,45,NZ,93,-45.4167,167.7167,-1.64,0.52
5386035,Rancho Palos Verdes,75,US,81,33.7445,-118.387,22.04,2.57
1082243,Ambilobe,30,MG,77,-13.2,49.05,21.62,2.04
3870243,Taltal,72,CL,66,-25.4,-70.4833,16.27,1.42
3372707,Ribeira Grande,75,PT,73,38.5167,-28.7,25.22,4.12
217695,Bunia,60,CD,96,1.5667,30.25,17.67,1.81
3181628,Bracciano,9,IT,54,42.1031,12.1754,29.0,4.45
3466980,Caravelas,22,BR,62,-17.7125,-39.2481,26.63,2.66
4845585,Westport,40,US,45,41.1415,-73.3579,29.2,5.66
1151073,Prachuap Khiri Khan,100,TH,91,12.2167,99.75,28.1,1.77
608270,Shubarshi,30,KZ,36,48.5872,57.1869,25.19,4.92
2015306,Tiksi,89,RU,81,71.6872,128.8694,8.99,1.25
1259385,Port Blair,97,IN,80,11.6667,92.75,28.02,4.22
2646557,Horsham,20,GB,62,51.064,-0.3272,23.33,3.6
3418910,Upernavik,97,GL,76,72.7868,-56.1549,7.3,1.86
4036284,Alofi,2,NU,83,-19.0595,-169.9187,22.94,3.09
6165406,Thompson,75,CA,55,55.7435,-97.8558,17.09,2.06
2249281,Linguère,0,SN,55,15.3953,-15.1193,32.12,3.09
2092164,Lorengau,63,PG,71,-2.0226,147.2712,27.16,3.07
3628473,San Cristobal,33,VE,44,7.7669,-72.225,28.1,3.47
2191562,Dunedin,100,NZ,71,-45.8742,170.5036,5.45,3.58
4726521,San Patricio,43,US,39,28.017,-97.5169,34.01,5.78
3372783,Ponta Delgada,40,PT,78,37.7333,-25.6667,23.4,2.57
1278969,Along,67,IN,98,28.1667,94.7667,24.12,0.4
486645,Sukhobezvodnoye,58,RU,69,57.0491,44.8891,17.78,2.8
1513491,Yangi Marg`ilon,100,UZ,23,40.4272,71.7189,30.4,5.14
1737486,Bintulu,40,MY,94,3.1667,113.0333,25.23,1.54
5134295,Rome,75,US,61,43.2128,-75.4557,23.55,7.2
161974,Bereket,17,TM,37,39.2446,55.5154,31.93,6.55
86049,Jalu,0,LY,13,29.0331,21.5482,35.84,4.55
1529376,Korla,45,CN,32,41.7597,86.1469,26.17,2.01
2012780,Zabaykal'sk,100,RU,93,49.6333,117.3167,16.93,1.95
5850554,Makakilo City,0,US,73,21.3469,-158.0858,24.59,5.14
2194098,Ahipara,52,NZ,79,-35.1667,173.1667,11.65,6.32
3393922,Nísia Floresta,100,BR,97,-6.0911,-35.2086,28.21,2.7
8079926,Labuhan,75,ID,79,-6.8844,112.2051,24.6,2.64
2126710,Beringovskiy,100,RU,76,63.05,179.3167,9.36,1.06
932960,Werda,43,BW,24,-25.2667,23.2833,16.83,4.53
